Subscribed	Location	Company
16/06/2025 11:56	United Kingdom	
16/06/2025 09:25	United Kingdom	University Of Exeter
16/06/2025 09:10	United Kingdom	
16/06/2025 09:08	United Kingdom	uni of exeter
16/06/2025 09:06	United Kingdom	University of Exeter
16/06/2025 08:48	United Kingdom	Exeter University Sequencing Facility
10/06/2025 19:13	United Kingdom	The Institute of Cancer Research, London
10/06/2025 11:19	United Kingdom	King's College London
10/06/2025 6:41	Netherlands	Health-RI
09/06/2025 17:01	United Kingdom	King's College London
02/06/2025 12:54	United Kingdom	Bristol University
28/05/2025 15:02	Netherlands	University of Oxford
23/05/2025 13:22	Uganda	
23/05/2025 13:21		
23/05/2025 13:21	United States	
23/05/2025 13:21	United States	
23/05/2025 13:21	United States	
23/05/2025 13:21	Ireland	
23/05/2025 13:20	United Kingdom	
23/05/2025 13:20	United Kingdom	
20/05/2025 13:53	United Kingdom	University of Edinburgh
12/05/2025 10:28	United Kingdom	University of Liverpool
02/05/2025 11:14	United States	
02/05/2025 11:14	Greece	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	Netherlands	
02/05/2025 11:14	Spain	
02/05/2025 11:14		
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United States	
02/05/2025 11:14		
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United States	
02/05/2025 11:14	Canada	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	France	
02/05/2025 11:14	Ireland	
02/05/2025 11:14	Greece	
02/05/2025 11:14	United States	
02/05/2025 11:14	Ireland	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	Cardiff University
02/05/2025 11:14	Netherlands	
02/05/2025 11:14	United States	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	Netherlands	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	Netherlands	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	United Kingdom	
02/05/2025 11:14	Netherlands	
15/04/2025 00:32	United Kingdom	
28/03/2025 15:46	United Kingdom	AWS
23/03/2025 13:01	United Kingdom	University of Dundee
17/03/2025 12:23	United Kingdom	NERC
17/03/2025 12:23	Ireland	
17/03/2025 12:23	Ireland	
17/03/2025 12:23	United Kingdom	University Of Cambridge
17/03/2025 12:23	United Kingdom	John Innes Centre
17/03/2025 12:23	United Kingdom	UEA
17/03/2025 12:23	United Kingdom	TSL
17/03/2025 12:23	United Kingdom	University of East Anglia
17/03/2025 12:23	United Kingdom	NBI Partnership
17/03/2025 12:23	United Kingdom	BBSRC
17/03/2025 12:23	United Kingdom	EMBL-EBI
17/03/2025 12:23	United Kingdom	BBSRC
17/03/2025 12:23		EMBL-EBI
17/03/2025 12:23	United States	Earlham Institute
17/03/2025 12:23	Ireland	Earlham Institute
17/03/2025 12:23	United Kingdom	Quadram Institute Bioscience
17/03/2025 12:23	Ireland	Earlham Institute
17/03/2025 12:23	United Kingdom	Earlham Institute
17/03/2025 12:23	Netherlands	Earlham Institute
17/03/2025 12:23	Netherlands	Earlham Institute
17/03/2025 12:23	United Kingdom	Earlham Institute
17/03/2025 12:23	Netherlands	NBIP
17/03/2025 12:23	United Kingdom	EI/Elixir-UK
17/03/2025 12:23	United Kingdom	EI
17/03/2025 12:23	Ireland	Earlham Institute
17/03/2025 12:23	United Kingdom	BBSRC
17/03/2025 12:23	United Kingdom	UKRI
17/03/2025 12:21	Netherlands	EI
17/03/2025 12:21	United Kingdom	University of Warwick
17/03/2025 12:21	United Kingdom	University of Cambridge
17/03/2025 12:21	Canada	Digital Research Alliance of Canada
17/03/2025 12:21		Forschungszentrum JÃ¼lich GmbH
17/03/2025 12:21	Australia	ReSA
17/03/2025 12:21	Australia	New Zealand eScience Infrastructure
17/03/2025 12:21	Ireland	University of Cambridge
17/03/2025 12:21	United States	University of Birmingham
17/03/2025 12:21	United Kingdom	n/a
17/03/2025 12:21	United Kingdom	University of Leeds
17/03/2025 12:21	United States	University of Mamchester
17/03/2025 12:21	United Kingdom	University College London (UCL)
17/03/2025 12:21		Galaxy Australia
17/03/2025 12:21	United Kingdom	Cambridge University Health Partners
